City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,palmer,42.1584,-72.3287,21.81,78,100,4.63,US,1719457133
147,usinsk,65.9939,57.5281,9.37,67,100,7.26,RU,1719457134
148,guerrero negro,27.9769,-114.0611,18.73,87,1,8.24,MX,1719457136
149,bikenibeu village,1.3673,173.1241,30.98,74,20,3.6,KI,1719457137
150,ribeira grande,38.5167,-28.7,20.43,88,45,1.34,PT,1719457138
151,forster,-32.1667,152.5167,17.94,50,1,4.3,AU,1719457057
152,stanley,54.868,-1.6985,17.06,81,100,3.09,GB,1719457141
153,axim,4.8699,-2.2405,23.94,92,100,2.1,GH,1719457143
154,porto novo,6.4965,2.6036,25.0,91,100,2.35,BJ,1719456906
155,nemuro,43.3236,145.575,16.08,72,49,3.94,JP,1719456950
156,mareeba,-17.0,145.4333,27.47,80,99,3.87,AU,1719457147
157,necochea,-38.5473,-58.7368,10.75,58,99,7.84,AR,1719457149
158,susuman,62.7833,148.1667,5.78,87,100,1.55,RU,1719457150
159,letterkenny,54.95,-7.7333,12.7,83,100,6.1,IE,1719457154
160,devils lake,48.1128,-98.8651,17.06,80,20,2.12,US,1719457155
161,kannus,63.9,23.9,14.68,69,0,0.86,FI,1719457156
162,kuqa,41.7278,82.9364,32.64,16,5,1.21,CN,1719457158
163,steinbach,50.1667,8.5667,21.16,92,97,0.51,DE,1719457159
164,quatre cocos,-20.2078,57.7625,22.06,60,34,6.41,MU,1719457161
165,luanda,-8.8368,13.2343,21.0,94,20,1.54,AO,1719457162
166,igarka,67.4667,86.5833,25.37,55,63,4.66,RU,1719457164
167,bandarbeyla,9.4942,50.8122,27.24,62,96,13.49,SO,1719457165
168,tweed heads,-28.1817,153.547,23.02,68,75,4.12,AU,1719457166
169,keflavik,64.0049,-22.5624,8.95,93,0,3.6,IS,1719457168
170,uturoa,-16.7333,-151.4333,26.7,79,10,9.23,PF,1719457169
171,bethel,41.3712,-73.414,21.22,88,100,1.61,US,1719457171
172,mermoz boabab,14.7065,-17.4758,24.88,83,75,4.12,SN,1719457172
173,boguchany,58.3814,97.4531,28.76,37,23,2.02,RU,1719457174
174,kirakira,-10.4544,161.9205,28.74,72,96,7.52,SB,1719457175
175,ghadamis,30.1337,9.5007,30.49,19,0,4.26,LY,1719457177
176,alakurtti,66.9672,30.3491,10.53,95,100,2.54,RU,1719457178
177,grand-bassam,5.2118,-3.7388,25.98,91,92,2.3,CI,1719457180
178,santa elena de uairen,4.6167,-61.1333,19.19,93,100,0.53,VE,1719457181
179,new norfolk,-42.7826,147.0587,10.72,78,100,1.98,AU,1719457182
180,robore,-18.3333,-59.75,10.26,88,3,1.38,BO,1719457184
181,kristiansund,63.1115,7.732,16.36,71,75,3.09,NO,1719457185
182,bryne,58.7354,5.6477,16.1,84,0,1.03,NO,1719457187
183,champerico,14.3,-91.9167,26.99,81,99,3.77,GT,1719457188
184,sao felix do xingu,-6.6447,-51.995,24.41,55,44,0.78,BR,1719457190
